GSIS_ID,PLAYER,TEAM,POS
00-0032208,Phillip Dorsett,NE,WR
00-0027656,Rob Gronkowski,NE,TE
00-0030288,Rex Burkhead,NE,RB
00-0033839,Dede Westbrook,JAX,WR
00-0033699,Austin Ekeler,LAC,RB
00-0034838,Royce Freeman,DEN,RB
00-0031068,Ryan Grant,IND,WR
00-0033025,Jalen Richard,OAK,RB
00-0031359,Kelvin Benjamin,BUF,WR
00-0030472,Jordan Reed,WAS,TE
00-0022921,Larry Fitzgerald,ARI,WR
00-0030107,Theo Riddick,DET,RB
00-0032211,Tyler Lockett,SEA,WR
00-0032392,Austin Hooper,ATL,TE
00-0034279,Equanimeous St. Brown,GB,WR
00-0033293,Aaron Jones,GB,RB
00-0030669,Albert Wilson,MIA,WR
00-0033958,Nathan Peterman,BUF,QB
00-0029000,Cole Beasley,DAL,WR
00-0031325,Sammy Watkins,KC,WR
00-0027325,LeGarrette Blount,DET,RB
00-0034750,Rashaad Penny,SEA,RB
00-0029632,Mohamed Sanu,ATL,WR
00-0031544,Amari Cooper,OAK,WR
00-0027531,Chris Ivory,BUF,RB
00-0034837,Calvin Ridley,ATL,WR
00-0034184,Gus Edwards,BAL,RB
00-0031941,Jamison Crowder,WAS,WR
00-0034348,Courtland Sutton,DEN,WR
00-0033611,Ricky Seals-Jones,ARI,TE
00-0029159,Jermaine Kearse,NYJ,WR
00-0031959,Marcus Murphy,BUF,RB
00-0030085,Kenny Stills,MIA,WR
00-0027948,Blaine Gabbert,TEN,QB
00-0034775,Christian Kirk,ARI,WR
00-0032200,Ty Montgomery,GB,RB
00-0031257,Paul Richardson,WAS,WR
00-0033536,Mike Williams,LAC,WR
00-0026176,Jordy Nelson,OAK,WR
00-0033891,Zay Jones,BUF,WR
00-0032257,Duke Johnson,CLE,RB
00-0029664,Josh Gordon,NE,WR
00-0032688,Robby Anderson,NYJ,WR
00-0031373,Martavis Bryant,OAK,WR
00-0034816,Ronald Jones,TB,RB
00-0026035,Danny Amendola,MIA,WR
00-0032760,Josh Doctson,WAS,WR
00-0030549,Tyler Eifert,CIN,TE
00-0027981,Kyle Rudolph,MIN,TE
00-0033251,Zach Pascal,IND,WR
00-0032977,Rashard Higgins,CLE,WR
00-0033282,Curtis Samuel,CAR,WR
00-0027996,Torrey Smith,CAR,WR
00-0030710,Trey Burton,CHI,TE
00-0032160,Tyrell Williams,LAC,WR
00-0030470,Vance McDonald,PIT,TE
00-0028434,Doug Baldwin,SEA,WR
00-0033911,Taywan Taylor,TEN,WR
00-0034258,Derrick Willies,CLE,WR
00-0033879,O.J. Howard,TB,TE
00-0034378,Ito Smith,ATL,RB
00-0032951,Laquon Treadwell,MIN,WR
00-0025418,Greg Olsen,CAR,TE
00-0026213,Jamaal Charles,JAX,RB
00-0022943,Benjamin Watson,NO,TE
00-0032009,Adam Humphries,TB,WR
00-0029269,Travis Benjamin,LAC,WR
00-0033292,Trent Taylor,SF,WR
00-0033306,Victor Bolden,SF,WR
00-0033460,John Ross,CIN,WR
00-0029572,Jarius Wright,CAR,WR
00-0033564,Jake Butt,DEN,TE
00-0030108,Ryan Griffin,HOU,TE
00-0031166,Seth Roberts,OAK,WR
00-0031326,Bruce Ellington,HOU,WR
00-0024334,Brandon Marshall,SEA,WR
00-0028237,Chris Hogan,NE,WR
00-0032972,Devontae Booker,DEN,RB
00-0030821,Allen Hurns,DAL,WR
00-0028825,Terrelle Pryor,NYJ,WR
00-0032227,Jeff Heuerman,DEN,TE
00-0033881,Evan Engram,NYG,TE
00-0034353,Anthony Miller,CHI,WR
00-0034365,Ian Thomas,CAR,TE
00-0029892,Kyle Juszczyk,SF,FB
00-0034499,Jawill Davis,NYG,WR
00-0033933,Chad Williams,ARI,WR
00-0031418,Austin Seferian-Jenkins,JAX,TE
00-0034159,Will Dissly,SEA,TE
00-0028091,Jeremy Kerley,BUF,WR
00-0032791,Jakeem Grant,MIA,WR
00-0032135,Jesse James,PIT,TE
00-0030068,Marquise Goodwin,SF,WR
00-0033950,Wayne Gallman,NYG,RB
00-0030521,Justin Hunter,PIT,WR
00-0032394,Nick Vannett,SEA,TE
00-0032117,Nick O'Leary,MIA,TE
00-0031912,Cameron Meredith,NO,WR
00-0032795,Cody Core,CIN,WR
00-0031731,Corey Grant,JAX,RB
00-0031598,Nick Boyle,BAL,TE
00-0034510,Robert Foster,BUF,WR
00-0031806,Malcolm Brown,LA,RB
00-0034753,Mark Andrews,BAL,TE
00-0032141,Geoff Swaim,DAL,TE
00-0034272,Marquez Valdes-Scantling,GB,WR
00-0028112,Charles Clay,BUF,TE
00-0029613,Doug Martin,OAK,RB
00-0034764,Michael Gallup,DAL,WR
00-0034827,DJ Moore,CAR,WR
00-0031301,Jeremy Hill,NE,RB
00-0034370,DaeSean Hamilton,DEN,WR
00-0032128,Chris Conley,KC,WR
00-0021547,Antonio Gates,LAC,TE
00-0034676,James Washington,PIT,WR
00-0028263,Andre Holmes,BUF,WR
00-0029388,Deonte Thompson,DAL,WR
00-0031547,DeVante Parker,MIA,WR
00-0029854,C.J. Anderson,CAR,RB
00-0031344,Cody Latimer,NYG,WR
00-0032778,Tajae Sharpe,TEN,WR
00-0033307,Kendrick Bourne,SF,WR
00-0034681,Chase Edmonds,ARI,RB
00-0028083,Jacquizz Rodgers,TB,RB
00-0033357,Taysom Hill,NO,QB
00-0029587,Rhett Ellison,NYG,TE
00-0031951,James O'Shaughnessy,JAX,TE
00-0032134,C.J. Uzomah,CIN,TE
00-0030578,Cordarrelle Patterson,NE,WR
00-0031558,Maxx Williams,BAL,TE
00-0033562,Ryan Switzer,PIT,WR
00-0032599,Josh Perkins,PHI,TE
00-0032393,C.J. Prosise,SEA,RB
00-0033899,DeShone Kizer,GB,QB
00-0030525,Tavon Austin,DAL,WR
00-0034351,Dallas Goedert,PHI,TE
00-0030433,Mike Gillislee,NO,RB
00-0026901,Mike Wallace,PHI,WR
00-0030300,Jaron Brown,SEA,WR
00-0034679,Mark Walton,CIN,RB
00-0034440,Justin Jackson,LAC,RB
00-0031299,Jordan Matthews,PHI,WR
00-0034829,Mike Gesicki,MIA,TE
00-0030155,Demetrius Harris,KC,TE
00-0028093,Niles Paul,JAX,TE
00-0028497,Kamar Aiken,PHI,WR
00-0031273,Cameron Brate,TB,TE
00-0033627,Jason Croom,BUF,TE
00-0034860,Dante Pettis,SF,WR
00-0024221,Vernon Davis,WAS,TE
00-0023662,Matt Cassel,DET,QB
00-0030414,Spencer Ware,KC,RB
00-0033217,Mo Alie-Cox,IND,TE
00-0031102,Kapri Bibbs,WAS,RB
00-0034796,Lamar Jackson,BAL,QB
00-0034777,D.J. Chark,JAX,WR
00-0033589,David Moore,SEA,WR
00-0034631,Vyncint Smith,HOU,WR
00-0034766,Chris Herndon,NYJ,TE
00-0034221,Roc Thomas,MIN,RB
00-0032980,Marcus Johnson,IND,WR
00-0030147,Russell Shepard,NYG,WR
00-0033455,Anthony Firkser,TEN,TE
00-0029273,Robert Turbin,IND,RB
00-0033895,Gerald Everett,LA,TE
00-0030854,Erik Swoope,IND,TE
00-0032918,C.J. Ham,MIN,FB
00-0034830,Hayden Hurst,BAL,TE
00-0033110,Tyler Higbee,LA,TE
00-0032398,Chris Moore,BAL,WR
00-0022787,Matt Schaub,ATL,QB
00-0034765,Tre'Quan Smith,NO,WR
00-0029580,Rishard Matthews,TEN,WR
00-0030465,Kenjon Barner,NE,RB
00-0031484,Chris Manhertz,CAR,TE
00-0034364,Jordan Akins,HOU,TE
00-0030089,Luke Willson,DET,TE
00-0028142,Virgil Green,LAC,TE
00-0031900,Rod Smith,DAL,RB
00-0033858,Jonnu Smith,TEN,TE
00-0034791,Nick Chubb,CLE,RB
00-0031570,Justin Hardy,ATL,WR
00-0034420,Jordan Thomas,HOU,TE
00-0027925,James Develin,NE,FB
00-0033382,Austin Carr,NO,WR
00-0032120,Neal Sterling,NYJ,TE
00-0032543,Alex Erickson,CIN,WR
00-0031690,Eric Tomlinson,NYJ,TE
00-0029640,Brian Quick,WAS,WR
